Epithet;Date of registration;Genus;Originator Name;Registrant Name;Pollen;Seed;Synonym Flag
Lowryanum;01/01/1891;Paphiopedilum;Sanders[St Albans];Sanders[St Albans];Vernixium;Ashburtoniae;This is  a synonym
Lowvale;14/08/1991;Paphiopedilum;Stewart Orch.;Stewart Orch.;Challow;Greenvale;This is not a synonym
Loxwood;01/01/1950;Paphiopedilum;S.Low;S.Low;Blackbird;Adela;This is not a synonym
Loyensii;01/01/1900;Paphiopedilum;Peeters;Peeters;Nitens;Leeanum;This is  a synonym
Loyola;01/01/1972;Paphiopedilum;Ratcliffe;Ratcliffe;Tombola;Loganna;This is not a synonym
LSF Gold Standard;07/11/2005;Paphiopedilum;R.;R.;kolopakingii;Golddollar;This is not a synonym
LSF Prime Peridot;12/09/2005;Paphiopedilum;R.;R.;Green Mystery;Jolly Green Gem;This is not a synonym
Lu-Lu;01/01/1949;Paphiopedilum;Stirling;Stirling;Luna;Kay-Kay;This is not a synonym
Lubbersii;01/01/1904;Paphiopedilum;Draps-Dom;Draps-Dom;Calophyllum;barbatum;This is not a synonym
Lucarola;01/01/1931;Paphiopedilum;A.E.Dale;A.E.Dale;Lucernale;Carola;This is not a synonym
Lucasiae;01/01/1905;Paphiopedilum;Lucas;Lucas;insigne;Clinkaberryanum;This is  a synonym
Lucasii;01/01/1907;Paphiopedilum;G.F.Moore;G.F.Moore;Swinburnei;Beeckmanii;This is  a synonym
Lucernale;01/01/1912;Paphiopedilum;Warburton;Warburton;Hera (1892);Chrysotoxum;This is not a synonym
Luciano Pavarotti;04/07/1994;Paphiopedilum;F.Booth;F.Booth;Susan Booth;delenatii;This is not a synonym
Lucid;01/01/1956;Paphiopedilum;Cooke;Cooke;Lucarola;Cardinal Mercier;This is not a synonym
Lucid Bay;01/01/1978;Paphiopedilum;J.Hanes;J.Hanes;Thunder Bay;Lucid;This is not a synonym
Lucido;01/01/1980;Paphiopedilum;J.Hanes;J.Hanes;Stuart Wilcox;Lucid;This is not a synonym
Lucidum;01/01/1877;Paphiopedilum;Veitch;Veitch;villosum;lowii;This is not a synonym
Lucidum var Beatrice;01/01/1889;Paphiopedilum;D.Drewett;D.Drewett;lowii;boxallii;This is  a synonym
Lucie;01/01/1892;Paphiopedilum;Moreau;Moreau;lawrenceanum;ciliolare;This is  a synonym
Lucienianum;01/01/1892;Paphiopedilum;S.Low;S.Low;Oenanthum;boxallii;This is  a synonym
Lucienne;01/01/1936;Paphiopedilum;McBean's;McBean's;Lady Dillon;fairrieanum;This is not a synonym
Lucifer;01/01/1911;Paphiopedilum;H.;H.;Niobe;Hera (1892);This is not a synonym
Lucile Williams;01/01/1932;Paphiopedilum;O/U;O/U;Lemanii Ducis;Everest;This is not a synonym
Lucilia;01/01/1915;Paphiopedilum;Charlesworth Ltd.;Charlesworth Ltd.;Memnon;Allertonense;This is not a synonym
Lucille;01/01/1978;Paphiopedilum;R.Cryder;R.Cryder;gratrixianum;druryi;This is not a synonym
Lucille Ball;02/03/2006;Paphiopedilum;R-J.Quené;Orchids Ltd [MN];concolor;Bella Lucia;This is not a synonym
Lucille Booth;24/06/1997;Paphiopedilum;F.Booth;F.Booth;primulinum;Lady Isabel;This is not a synonym
Lucille Bowersox;01/01/1985;Paphiopedilum;G.R.Clements;G.R.Clements;delenatii;Calloso-barbatum;This is not a synonym
Lucille Cryder;01/01/1969;Paphiopedilum;Stewart Inc.;Stewart Inc.;glaucophyllum;Ballet Girl;This is not a synonym
Lucille Kubista;06/08/1996;Paphiopedilum;D.Eickhoff;D.Eickhoff;philippinense;Psyche;This is not a synonym
Lucille Mackey;01/01/1964;Paphiopedilum;G.Hoyt;G.Hoyt;F. C. Puddle;Emmer Green;This is not a synonym
Lucilow;01/01/1949;Paphiopedilum;S.A.;S.A.;Lucifer;Bromilowianum;This is not a synonym
Lucina;01/01/1931;Paphiopedilum;McLaren;McLaren;Conference;Antinous;This is not a synonym
Lucinda;01/01/1928;Paphiopedilum;Bruce-Wrigley;Bruce-Wrigley;Lucernale;Alcibiades;This is not a synonym
Lucinda Lachelin;24/02/2000;Paphiopedilum;Arnold J.Klehm;Arnold J.Klehm;lawrenceanum;Faire-Maud;This is not a synonym
Lucinda's Belle;26/08/2009;Paphiopedilum;Arnold J.Klehm;Arnold J.Klehm;Memoria Belva Jernigan;Lucinda Lachelin;This is not a synonym
Lucinda's Spring Mist;10/04/2007;Paphiopedilum;Arnold J.Klehm;Arnold J.Klehm;Spring Mist;Lucinda Lachelin;This is not a synonym
Luck Money;01/01/1962;Paphiopedilum;Stirling;Stirling;Doctor Clayton;Rosy Dawn;This is not a synonym
Lucky Bells;27/09/1994;Paphiopedilum;D.McDowell;D.McDowell;bellatulum;Bella Lucia;This is not a synonym
Lucky Charm;09/02/1994;Paphiopedilum;T.Root;Orchid Zone;Lady Luck;Huddle;This is not a synonym
Lucky Dream;13/10/2004;Paphiopedilum;F.Sugiyama;Yamato-Noen;Irish Luck;Emerald Dream;This is not a synonym
Lucky Strike;01/01/1952;Paphiopedilum;E.C.Wilcox;E.C.Wilcox;Farnmoore;Sharmain;This is not a synonym
Luclava;01/01/1978;Paphiopedilum;C.;C.;Balaclava;Lucid;This is not a synonym
Lucodin;01/01/1930;Paphiopedilum;Paterson;Paterson;Odin;Edith Lucas;This is not a synonym
Lucretia;01/01/1946;Paphiopedilum;Alexander;Alexander;Paragon;Lady Phulmoni;This is not a synonym
Lucullus;01/01/1929;Paphiopedilum;King;King;Pyramus;Earl of Tankerville;This is not a synonym
Lucy;01/01/1929;Paphiopedilum;S.Low;S.Low;Royal George;Aisne;This is not a synonym
Lucy Ing;01/01/1952;Paphiopedilum;S.A.;S.A.;Trismegistris;Lucifer;This is not a synonym
Lucy Marceline;01/01/1940;Paphiopedilum;S.Low;S.Low;Lady Dillon;Chester Place;This is not a synonym
Lucy Winston;01/01/1977;Paphiopedilum;Armacost;Armacost;Winston Churchill;Lucid;This is not a synonym
Lucy Zegota;01/11/1987;Paphiopedilum;R.Bobker;R.Bobker;niveum;Ron Williamson;This is not a synonym
Ludovic Fraeys;01/01/1945;Paphiopedilum;Sanders[St Albans];Sanders[St Albans];Mulatto;Mowgli;This is not a synonym
Luellau;01/01/1978;Paphiopedilum;R.Panczak;R.Panczak;Palmengarten;Lathamianum;This is not a synonym
Luff Win's;06/01/1999;Paphiopedilum;K.Ogawa;K.Ogawa;Winston Churchill;Luffincott;This is not a synonym
Luffincott;01/11/1988;Paphiopedilum;D.;F.Creek;Cyllene;B. White;This is not a synonym
Lugi;01/01/1978;Paphiopedilum;J.Hanes;J.Hanes;Lucid;Gigi;This is not a synonym
Luk Luk;15/10/1996;Paphiopedilum;R.J.Rands;Tim Anderson;niveum;stonei;This is not a synonym
Lumbee;12/01/1994;Paphiopedilum;W.W.Wilson;W.W.Wilson;Manayunk;Apache;This is not a synonym
Luminance;01/11/1973;Paphiopedilum;Ratcliffe;Ratcliffe;F. C. Puddle;Fidelity;This is not a synonym
Luminary;19/05/1998;Paphiopedilum;J.Cash;J.Cash;Via Ojai;bellatulum;This is not a synonym
Luminescent;11/02/1992;Paphiopedilum;T.Root;Orchid Zone;Skip Bartlett;Orchilla;This is not a synonym
Luminosum;01/01/1901;Paphiopedilum;O/U;O/U;Milo;Kubele;This is not a synonym
Luminous;01/01/1924;Paphiopedilum;Sanders[St Albans];Sanders[St Albans];Carola;Alabaster;This is not a synonym
Luminous Illusion;13/11/2006;Paphiopedilum;T.Tozuka;T.Tozuka;emersonii;Emerald Dream;This is not a synonym
Lummi;01/01/1982;Paphiopedilum;W.W.Wilson;W.W.Wilson;Sussex Gold;Golden Slipper;This is not a synonym
Lumsdenii;01/01/1899;Paphiopedilum;Lumsden;Lumsden;charlesworthii;barbatum;This is not a synonym
Luna;01/01/1923;Paphiopedilum;Armstrong/Brown;Armstrong/Brown;Mrs. Carey Batten;Desdemona (1914);This is not a synonym
Luna D'Oro;01/01/1961;Paphiopedilum;Stirling;Stirling;Golden Desire;Golden Moon;This is not a synonym
