Epithet;Date of registration;Genus;Originator Name;Registrant Name;Pollen;Seed;Synonym Flag
Winter Gold;01/01/1989;Paphiopedilum;Takaki O.N.;Takaki O.N.;Golden Acres;Winter Sunshine;This is not a synonym
Winter Green;01/01/1944;Paphiopedilum;Lawson;Lawson;Radina;Olive;This is not a synonym
Winter Harvest;25/03/1992;Paphiopedilum;T.Root;Orchid Zone;Castleberry;Hellas;This is not a synonym
Winter Haven;12/10/2007;Paphiopedilum;Krull-Smith;Krull-Smith;sukhakulii;Faire-Maud;This is not a synonym
Winter Joy;12/08/2003;Paphiopedilum;Marriott Orchids;Marriott Orchids;Bella Snow;Amanda;This is not a synonym
Winter Jungle;01/11/1988;Paphiopedilum;Takaki O.N.;Takaki O.N.;Kanara Jungle;Winter Sunshine;This is not a synonym
Winter Kingdom;06/08/2007;Paphiopedilum;K.Porter;Marriott Orchids;niveum;Snow Tiger;This is not a synonym
Winter Lemon;01/01/1988;Paphiopedilum;Takaki O.N.;Takaki O.N.;Doraeus;Winter Sunshine;This is not a synonym
Winter Light;09/02/1994;Paphiopedilum;T.Root;Orchid Zone;Cinder Buena;Hellas;This is not a synonym
Winter Lime;01/01/1989;Paphiopedilum;Takaki O.N.;Takaki O.N.;Winter Sunshine;Kiva;This is not a synonym
Winter Magic;01/01/1986;Paphiopedilum;Seisaku Takagi;Seisaku Takagi;venustum;Bit-O'-Sunshine;This is not a synonym
Winter Meadow;06/08/2007;Paphiopedilum;Marriott Orchids;Marriott Orchids;Mountain Meadow;Blanche Sawyer;This is not a synonym
Winter Passage;12/08/2003;Paphiopedilum;Marriott Orchids;Marriott Orchids;sukhakulii;White Legacy;This is not a synonym
Winter Peace;01/11/1994;Paphiopedilum;J.Cash;J.Cash;Snowbird;niveum;This is not a synonym
Winter Pearl;14/12/1998;Paphiopedilum;Orchid Zone;Orchid Zone;emersonii;Magic Lantern;This is not a synonym
Winter Pink;21/05/1991;Paphiopedilum;T.Root;Orchid Zone;Gloriosum (1916);niveum;This is not a synonym
Winter Prince;01/01/1989;Paphiopedilum;Takaki O.N.;Takaki O.N.;California Canyon;Bit-O'-Sunshine;This is not a synonym
Winter Scene;01/01/1982;Paphiopedilum;Rod McLellan Co.;F.Jernigan;Blanche Sawyer;Gwenpur;This is not a synonym
Winter Sky;23/02/1993;Paphiopedilum;T.Root;Orchid Zone;Amanda;North Pacific;This is not a synonym
Winter Snow;17/07/2009;Paphiopedilum;Tokyo O.N.;Tokyo O.N.;Big Sky;Merry Winter;This is not a synonym
Winter Song;19/05/1998;Paphiopedilum;J.Cash;J.Cash;Amandahill;niveum;This is not a synonym
Winter Spirit;26/10/1999;Paphiopedilum;J.Cash;J.Cash;White Legacy;Magic Mood;This is not a synonym
Winter Star;16/08/2004;Paphiopedilum;Marriott Orchids;Marriott Orchids;White Legacy;Starr Dust;This is not a synonym
Winter Storm;01/01/1986;Paphiopedilum;Seisaku Takagi;Seisaku Takagi;San-Actaeus;Bit-O'-Sunshine;This is not a synonym
Winter Sunset;09/02/1996;Paphiopedilum;Ratcliffe;Ratcliffe;Snowberry;Copperware;This is not a synonym
Winter Sunshine;01/01/1986;Paphiopedilum;Seisaku Takagi;Seisaku Takagi;Bit-O'-Sunshine;Himori;This is not a synonym
Winter Treasure;04/07/2011;Paphiopedilum;Orchids Royale;Orchids Royale;Provocation;Thunder Eagle;This is not a synonym
Winter Vacation;27/05/2010;Paphiopedilum;H.Oizumi;N.Mochizuki;Vacation;Winter Ermine;This is not a synonym
Winter Valley;01/01/1986;Paphiopedilum;Seisaku Takagi;Seisaku Takagi;Himori;San-Actaeus;This is not a synonym
Winter Wind;10/12/2002;Paphiopedilum;Marriott Orchids;Marriott Orchids;Magic Mood;niveum;This is not a synonym
Winter Wonder;24/05/2012;Paphiopedilum;Marriott Orchids;Marriott Orchids;John Jack;White Legacy;This is not a synonym
Winter's Child;01/01/1980;Paphiopedilum;Ratcliffe;Ratcliffe;Wintersweet;Dimity;This is not a synonym
Winter's Imp;01/01/1972;Paphiopedilum;Rod McLellan Co.;Rod McLellan Co.;Garibaldi;Cyclops;This is not a synonym
Winter's Mill;01/01/1975;Paphiopedilum;Ratcliffe;Ratcliffe;Wintersweet;Dusty Miller;This is not a synonym
Winterblush;01/01/1978;Paphiopedilum;Ratcliffe;Ratcliffe;Blondel;Wintersweet;This is not a synonym
Wintergreen;01/01/1924;Paphiopedilum;Bruce-Wrigley;Bruce-Wrigley;Zeno (1);mastersianum;This is not a synonym
Wintermist;01/09/1992;Paphiopedilum;T.Root;Orchid Zone;Snowbird;Huddle;This is not a synonym
Wintermoon;17/10/1995;Paphiopedilum;T.Root;Orchid Zone;emersonii;Greyi;This is not a synonym
Winterset;16/12/1998;Paphiopedilum;Mochizuki Orch.;Mochizuki Orch.;Aquamarine;Emerald;This is not a synonym
Wintersweet;01/01/1967;Paphiopedilum;Ratcliffe;Ratcliffe;Brixton;Sungrove;This is not a synonym
Winverson;12/05/1994;Paphiopedilum;O/U;I.Muramatsu;Wineva;Jim Iverson;This is not a synonym
Winwine;03/08/1993;Paphiopedilum;J.Cash;J.Cash;Joanne's Wine;Winston Churchill;This is not a synonym
Wirra Wirra;18/06/1999;Paphiopedilum;Adelaide;Adelaide;Syd Monkhouse;kolopakingii;This is not a synonym
Wisdom;01/01/1942;Paphiopedilum;S.Low;S.Low;Mrs. Eley;Doris Stanton;This is not a synonym
Wiseman's Ferry;21/08/1992;Paphiopedilum;G.S.Banks;G.S.Banks;Danella;Fine Arts;This is not a synonym
Wish;01/01/1950;Paphiopedilum;F.;F.;Lilith;Atlantis;This is not a synonym
Wishing Well;09/02/1996;Paphiopedilum;Ratcliffe;Ratcliffe;Heather Bell;Nassarah;This is not a synonym
Wishkah River;01/01/1980;Paphiopedilum;Beall;Beall;Criterion Creek;Gwen Hannen;This is not a synonym
Wissahickon;01/01/1975;Paphiopedilum;W.W.Wilson;W.W.Wilson;Hellas;Sunset;This is not a synonym
Wissinoming;01/01/1974;Paphiopedilum;W.W.Wilson;W.W.Wilson;hirsutissimum;fairrieanum;This is not a synonym
Wistowgate;01/01/1952;Paphiopedilum;S.Low;S.Low;Anson;Whitehall;This is not a synonym
Witch;01/01/1957;Paphiopedilum;Mrs G.Welsh;Mrs G.Welsh;Merlin;Florence Spencer;This is not a synonym
Witch Doctor;23/02/1995;Paphiopedilum;T.Root;Orchid Zone;Algonquin;Docteur Knock;This is not a synonym
Witches Dance;30/06/1993;Paphiopedilum;H.Doll;H.Doll;Regent;Farnoyo;This is not a synonym
Wittii;01/01/1889;Paphiopedilum;Low;Low;spicerianum;lowii;This is  a synonym
Witton;01/01/1953;Paphiopedilum;Stirling;Stirling;Ballet Girl;Macaw;This is not a synonym
Witzenhäuser Traum;18/01/2013;Paphiopedilum;E.Görtler;O.Gruss;Tokyo Knight Dream;White King;This is not a synonym
Wizard of Oz;11/01/1994;Paphiopedilum;H.Congleton;H.Congleton;Procal;Black Rook;This is not a synonym
Wizard's Flame;04/10/1994;Paphiopedilum;T.Root;Orchid Zone;Red Sky;callosum;This is not a synonym
Wizard's White;01/12/1995;Paphiopedilum;T.Root;Orchid Zone;Skip Bartlett;California Gold;This is not a synonym
Wizardry;12/08/2003;Paphiopedilum;Orchid Zone;Marriott Orchids;Wizard's Flame;Red Fusion;This is not a synonym
Woden;01/01/1902;Paphiopedilum;R.I.Measures;R.I.Measures;superbiens;Leeanum;This is not a synonym
Wofroda;01/01/1978;Paphiopedilum;M.Mann;M.Mann;Danube;World Frolic;This is not a synonym
Woking;01/01/1952;Paphiopedilum;S.Low;S.Low;Hampden;Morea;This is not a synonym
Wolhera;01/01/1949;Paphiopedilum;F.;F.;Lord Wolmer;Heratrix;This is not a synonym
Wollaton;01/01/1952;Paphiopedilum;Mansell ;K.V.Cooper;Papyrus;Hancar;This is not a synonym
Wolsey;01/01/1950;Paphiopedilum;A.E.Dale;A.E.Dale;Perseus;Cardinal Mercier;This is not a synonym
Woluwense;01/01/1910;Paphiopedilum;O/U;O/U;rothschildianum;niveum;This is not a synonym
Wonder Ball;28/01/2003;Paphiopedilum;O/U;Suwada Orch.;Copperware;Winston Churchill;This is not a synonym
Wonder Bay;08/06/2005;Paphiopedilum;Orchids Royale;Orchids Royale;Wonderland;Quiberon Bay;This is not a synonym
Wonder Boy;24/01/1994;Paphiopedilum;A.Mochizuki;A.Mochizuki;rothschildianum;Utgard;This is not a synonym
Wonder Flight;30/12/2010;Paphiopedilum;S.Takanashi;S.Takanashi;Flight Path;Santee Daynamite;This is not a synonym
Wonder Focus;10/09/2008;Paphiopedilum;F.Sugiyama;Yamato-Noen;Personality;Menthule;This is not a synonym
Wonder Isle;27/01/1994;Paphiopedilum;Orch.by Ackers;Orch.by Ackers;Simon;Greensleeves;This is not a synonym
Wonder Piece;12/09/2012;Paphiopedilum;H.Sakamoto;H.Sakamoto;Paeony;Centerpiece;This is not a synonym
Wonder Red;13/09/2004;Paphiopedilum;Suwada Orch.;Suwada Orch.;Wonder Ball;Jenna Marie;This is not a synonym
Wonder Stone;19/05/1999;Paphiopedilum;A.Mochizuki;A.Mochizuki;Stone Almost;Nettie McNay;This is not a synonym
Wonder Wendy;11/01/2011;Paphiopedilum;O/U;W.K.Russ;Michael Koopowitz;Sander's Pride;This is not a synonym
Wonder World;16/08/2004;Paphiopedilum;B.Fraser;Marriott Orchids;World Exile;Geelong;This is not a synonym
Wonderchild;19/04/2012;Paphiopedilum;Namekata;Namekata;rothschildianum;Wonder Boy;This is not a synonym
Wonderful;01/01/1948;Paphiopedilum;Sanders[St Albans];Sanders[St Albans];Chrysostom;Cameo;This is not a synonym
Wonderful Red;01/01/1980;Paphiopedilum;J.Hanes;J.Hanes;Veritilario;Vallarrow;This is not a synonym
Wonderland;01/01/1983;Paphiopedilum;Rod McLellan Co.;Orchids Royale;Advancement;Mildred Hunter;This is not a synonym
Woobrien;01/01/1953;Paphiopedilum;S.A.;S.A.;James Obrien;Wooburn;This is not a synonym
Wooburn;01/01/1936;Paphiopedilum;Black ;Black ;Nancie Gamble;Alderman;This is not a synonym
Wood Cup;01/01/1983;Paphiopedilum;Ratcliffe;P.Bechtel;Tap Dancer;Blagrose;This is not a synonym
Wood Dove;01/11/1980;Paphiopedilum;R.Van Delden;Stewart Inc.;ciliolare;glaucophyllum;This is not a synonym
Wood Green;01/01/1954;Paphiopedilum;Morgenstern;Morgenstern;Magda;Golden Beauty;This is not a synonym
Wood Magic;01/01/1974;Paphiopedilum;Ratcliffe;Ratcliffe;Bevis;Wendbourn;This is not a synonym
Wood Nymph;17/12/1998;Paphiopedilum;W.Sinkler;Castle Rock Orch.;violascens;Shapely;This is not a synonym
Wood Wonder;14/04/2008;Paphiopedilum;Orchid Zone;Lehua;Hsinying Maru;Zellwood Station;This is not a synonym
Wood-Hue;01/01/1975;Paphiopedilum;Ratcliffe;Ratcliffe;Sarella;Grove;This is not a synonym
Woodcotense;01/01/1919;Paphiopedilum;McBean's;McBean's;Leeanum;Alabaster;This is not a synonym
Woodcrest;01/01/1975;Paphiopedilum;Ratcliffe;Ratcliffe;Grove;Baroque;This is not a synonym
Woodfordense;01/01/1900;Paphiopedilum;Fowler;Fowler;Cymatodes;charlesworthii;This is not a synonym
Woodhouse;01/01/1926;Paphiopedilum;Mrs F.Smith;Mrs F.Smith;villosum;Alcibiades;This is not a synonym
Woodinville;01/11/1986;Paphiopedilum;Baker ;Baker ;John Dovan;Floralies;This is not a synonym
Woodlake;01/01/1984;Paphiopedilum;Rod McLellan Co.;Rod McLellan Co.;Grand Canyon;Balaclava;This is not a synonym
Woodland Crossing;27/06/2008;Paphiopedilum;R-J.Quené;Orchids Ltd [MN];Woodland Glade;Victoria Crossing;This is not a synonym
Woodland Elf;08/11/1990;Paphiopedilum;T.Root;Orchid Zone;sukhakulii;Fairiechant;This is not a synonym
Woodland Glade;01/04/1999;Paphiopedilum;W.Sinkler;Castle Rock Orch.;Shapely;Forest Vale;This is not a synonym
Woodland Harvest;10/04/1991;Paphiopedilum;T.Root;Orchid Zone;fairrieanum;Miracle;This is not a synonym
Woodlandense;01/01/1895;Paphiopedilum;Sanders[St Albans];Sanders[St Albans];virens;dayanum;This is  a synonym
Woodnote;01/01/1949;Paphiopedilum;Black ;Black ;Commander Howard Wethey;Olive;This is not a synonym
Woodpecker;01/01/1929;Paphiopedilum;Paterson;Paterson;Our Prince;Eagle;This is not a synonym
Woodrobin;01/01/1981;Paphiopedilum;Ratcliffe;Ratcliffe;Robin I. Hall;Rosewood;This is not a synonym
Woodrose;01/01/1978;Paphiopedilum;Stewart Inc.;Stewart Inc.;Normandy;charlesworthii;This is not a synonym
Woodruff;01/01/1967;Paphiopedilum;Ratcliffe;Ratcliffe;Small World;Blendia;This is not a synonym
Woodsprite;14/05/2009;Paphiopedilum;Lehua;Lehua;philippinense;Gina Short;This is not a synonym
Woodwind;29/03/1996;Paphiopedilum;Ratcliffe;Ratcliffe;Wild Wood;Cadence;This is not a synonym
Woody Bird;12/11/1991;Paphiopedilum;A.Mochizuki;A.Mochizuki;philippinense;William Matthews;This is not a synonym
Woolo;01/01/1934;Paphiopedilum;Raper;Raper;Christopher;Antinous;This is not a synonym
Woolooware;01/11/1988;Paphiopedilum;S.G.S.Bell;Belvedere;Maginot;Langley Pride;This is not a synonym
Woomera;19/05/2000;Paphiopedilum;Adelaide;Adelaide;Jolly Roger;superbiens;This is not a synonym
World Academy;01/01/1980;Paphiopedilum;Ratcliffe;Ratcliffe;Small World;Carfax;This is not a synonym
World Acclamation;23/04/2007;Paphiopedilum;M.Yamazaki;Hirota Int.;Acclamation;World Venture;This is not a synonym
World Ambassador;27/11/2008;Paphiopedilum;O/U;Paphanatics;Ambassador;Dazzling World;This is not a synonym
World Applause;13/03/2006;Paphiopedilum;Ratcliffe;Ratcliffe;Beresford;Small World;This is not a synonym
World Artist;01/01/1985;Paphiopedilum;Ratcliffe;E.Shimada;Sparsholt;Another World;This is not a synonym
World Attraction;17/02/1998;Paphiopedilum;Ratcliffe;Ratcliffe;Mulberry Fire;New World;This is not a synonym
World Beater;01/01/1980;Paphiopedilum;Ratcliffe;Ratcliffe;Sparsholt;World Exploit;This is not a synonym
World Boutique;24/08/2007;Paphiopedilum;Dragonstone;H.Kobayashi;Bournette;World Rebel;This is not a synonym
World Bridge;01/11/1987;Paphiopedilum;Ratcliffe;J.L.Marks;Seybridge;World Exploit;This is not a synonym
World Cannon;24/05/2007;Paphiopedilum;T.Ohkubo;T.Ohkubo;Seseragi;New World;This is not a synonym
World Carnival;01/01/1985;Paphiopedilum;Ratcliffe;E.Shimada;Cadence;World Exploit;This is not a synonym
World Challenge;01/01/1976;Paphiopedilum;Ratcliffe;Ratcliffe;Small World;Challow;This is not a synonym
World Champion;13/01/2013;Paphiopedilum;M.Yamazaki;M.Yamazaki;Pandemonium;World Exploit;This is not a synonym
World Chilwin;18/05/2005;Paphiopedilum;M.Yamazaki;K.Ichitsuka;Hama Chilwin;Merry World;This is not a synonym
World Class;29/10/2002;Paphiopedilum;Marriott Orchids;Marriott Orchids;Burpham;Small World;This is not a synonym
World Command;17/08/2004;Paphiopedilum;Ratcliffe;Ratcliffe;Commando;Small World;This is not a synonym
World Conference;01/01/1979;Paphiopedilum;Engelholms;Engelholms;Rollright;Sparsholt;This is not a synonym
World Constellation;04/06/1997;Paphiopedilum;Y.Kato;Y.Kato;Small World;Mach One;This is not a synonym
World Creation;01/01/1980;Paphiopedilum;Engelholms;Engelholms;World Cup;Our Creation;This is not a synonym
World Cruise;01/01/1973;Paphiopedilum;Ratcliffe;Ratcliffe;Small World;Alden;This is not a synonym
World Cup;01/01/1973;Paphiopedilum;Ratcliffe;Ratcliffe;Small World;Canasta;This is not a synonym
World Dazzler;17/08/2004;Paphiopedilum;Ratcliffe;Ratcliffe;World Beater;Dazzler;This is not a synonym
World Dolphin;13/03/2006;Paphiopedilum;Ratcliffe;Ratcliffe;Ocean Sound;Small World;This is not a synonym
World Edition;27/02/2009;Paphiopedilum;B.Fraser;Woodstream;World Beater;New Edition;This is not a synonym
World Event;17/02/1993;Paphiopedilum;Ratcliffe;Ratcliffe;Small World;Toney;This is not a synonym
World Exile;01/01/1979;Paphiopedilum;Ratcliffe;Ratcliffe;Colonist;World Venture;This is not a synonym
World Exploit;01/11/1968;Paphiopedilum;Ratcliffe;Ratcliffe;Small World;Rollright;This is not a synonym
World Expo;21/01/1992;Paphiopedilum;F.Askin;J.Askin;World Frolic;World Exploit;This is not a synonym
World Express;01/01/1981;Paphiopedilum;Engelholms;Engelholms;Fairburn;Small World;This is not a synonym
World Famous;01/01/1981;Paphiopedilum;Ratcliffe;Ratcliffe;Personality;World Venture;This is not a synonym
World Fandango;01/01/1971;Paphiopedilum;Ratcliffe;Ratcliffe;Small World;Flamenco;This is not a synonym
World Fantasy;01/11/1973;Paphiopedilum;Ratcliffe;Ratcliffe;Small World;Jacana;This is not a synonym
World Festival;01/01/1985;Paphiopedilum;Ratcliffe;E.Shimada;Sparsholt;Wings of Song;This is not a synonym
World Flight;01/01/1971;Paphiopedilum;Ratcliffe;Ratcliffe;Small World;Impeyan;This is not a synonym
World Frolic;01/01/1968;Paphiopedilum;Ratcliffe;Ratcliffe;Small World;Court Jester;This is not a synonym
World Fury;01/01/1977;Paphiopedilum;Ratcliffe;Ratcliffe;Tantrum;World Venture;This is not a synonym
World Future;11/01/1996;Paphiopedilum;Suwada Orch.;Suwada Orch.;Small World;Gallant Future;This is not a synonym
World Gallery;01/01/1985;Paphiopedilum;Ratcliffe;E.Shimada;Sparsholt;Braidwood;This is not a synonym
World Giant;01/01/1979;Paphiopedilum;Engelholms;Engelholms;Stoke Poges;World Exploit;This is not a synonym
World Guardian;01/01/1977;Paphiopedilum;Ratcliffe;Ratcliffe;Small World;Sentinel;This is not a synonym
World Harmony;01/11/1986;Paphiopedilum;Ratcliffe;T.Takimoto;Flying Free;World Venture;This is not a synonym
World Hime;21/10/2003;Paphiopedilum;M.Yamazaki;M.Yamazaki;Amanda;World Plaza;This is not a synonym
World Hunter;01/01/1980;Paphiopedilum;Engelholms;Engelholms;Mildred Hunter;Sparsholt;This is not a synonym
World Leader;01/01/1979;Paphiopedilum;Ratcliffe;Ratcliffe;Personality;Small World;This is not a synonym
World Life;01/01/1977;Paphiopedilum;Ratcliffe;Ratcliffe;Chipmunk;Small World;This is not a synonym
World Lighting Star;03/09/2012;Paphiopedilum;Ratcliffe;T.Ozawa;Nowara;World Famous;This is not a synonym
World Novenka;10/03/2009;Paphiopedilum;O/U;Kokusai;Novenka;New World;This is not a synonym
World One;29/09/1998;Paphiopedilum;Tokyo O.N.;Tokyo O.N.;Spotter;World Exploit;This is not a synonym
World Path;18/06/1999;Paphiopedilum;Suwada Orch.;Suwada Orch.;Small World;Gertrude Path;This is not a synonym
World Peace;14/11/1995;Paphiopedilum;Adelaide;Adelaide;Ceaser Pitta;Beatrice Ernst;This is not a synonym
World Performance;20/08/1991;Paphiopedilum;Ratcliffe;Ratcliffe;Another World;Winston Churchill;This is not a synonym
World Plaza;01/01/1985;Paphiopedilum;Ratcliffe;E.Shimada;Novisphere;Sparsholt;This is not a synonym
World Plus;12/10/2006;Paphiopedilum;F.Sugiyama;Yamato-Noen;Personality;World Famous;This is not a synonym
World Prix;01/01/1971;Paphiopedilum;Ratcliffe;Ratcliffe;Inferno;Small World;This is not a synonym
World Quest;01/01/1974;Paphiopedilum;Ratcliffe;Ratcliffe;Small World;Qantas;This is not a synonym
World Rebel;01/01/1979;Paphiopedilum;Ratcliffe;Ratcliffe;World Exploit;Braidwood;This is not a synonym
World Records;08/06/2010;Paphiopedilum;Tokyo O.N.;Tokyo O.N.;Double Winston;Future World;This is not a synonym
World Series;12/10/2006;Paphiopedilum;F.Sugiyama;Yamato-Noen;World Famous;Two Worlds;This is not a synonym
World Song;01/01/1971;Paphiopedilum;Ratcliffe;Ratcliffe;Small World;Cadence;This is not a synonym
World Spa;01/01/1977;Paphiopedilum;Ratcliffe;Ratcliffe;World Venture;Sparsholt;This is not a synonym
World Special;01/01/1975;Paphiopedilum;Ratcliffe;Ratcliffe;Small World;Woodruff;This is not a synonym
World Stone;23/09/1999;Paphiopedilum;Suwada Orch.;Suwada Orch.;Tree of Rootstone;Small World;This is not a synonym
World Strength;01/01/1980;Paphiopedilum;Ratcliffe;Ratcliffe;World Venture;Rollright;This is not a synonym
World Survival;16/04/1991;Paphiopedilum;Ratcliffe;Ratcliffe;World Exile;Sparsholt;This is not a synonym
World Tak;24/05/2007;Paphiopedilum;T.Ohkubo;T.Ohkubo;Blendia;New World;This is not a synonym
World Target;13/03/2006;Paphiopedilum;Ratcliffe;Ratcliffe;World Exile;Cross-Bow;This is not a synonym
World Thunder;29/10/2002;Paphiopedilum;Marriott Orchids;Marriott Orchids;Western Thunder;Small World;This is not a synonym
World Topic;16/04/1991;Paphiopedilum;Ratcliffe;Ratcliffe;Future World;Sparsholt;This is not a synonym
World Tour;20/08/1993;Paphiopedilum;Ratcliffe;T.Takimoto;World Venture;Cadence;This is not a synonym
World Traveller;17/08/2004;Paphiopedilum;Ratcliffe;Ratcliffe;Sparsholt;Go Far;This is not a synonym
World Treasure;01/01/1985;Paphiopedilum;Ratcliffe;E.Shimada;Novisphere;World Venture;This is not a synonym
World Tree;07/09/1994;Paphiopedilum;M.Kimura;Suwada Orch.;Small World;Jolly Green Gem;This is not a synonym
World Vale;01/01/1980;Paphiopedilum;Ratcliffe;Ratcliffe;World Exploit;Allendale;This is not a synonym
World Venture;01/11/1968;Paphiopedilum;Ratcliffe;Ratcliffe;Sparsholt;Small World;This is not a synonym
World View;29/10/2002;Paphiopedilum;Marriott Orchids;Marriott Orchids;Via Molinos;Small World;This is not a synonym
World Vision;19/08/2003;Paphiopedilum;O/U;K.Jitsumori;Vision;World Exploit;This is not a synonym
World Walker;17/10/1997;Paphiopedilum;A.Mochizuki;A.Mochizuki;Nettie McNay;Solomon Queen;This is not a synonym
World Warrior;16/08/2004;Paphiopedilum;Marriott Orchids;Marriott Orchids;Provocation;Small World;This is not a synonym
World Wide;20/08/1993;Paphiopedilum;Ratcliffe;T.Takimoto;Uncle Jack;World Beater;This is not a synonym
World Winner;17/07/2012;Paphiopedilum;Amemiya;Hirato;Hirose World;Winbell;This is not a synonym
World's End;08/07/1997;Paphiopedilum;Ratcliffe;Ratcliffe;World Exile;New World;This is not a synonym
Wormin;01/01/1931;Paphiopedilum;A.E.Dale;A.E.Dale;Worsleyi;Minotaur;This is not a synonym
Wormsae;01/01/1904;Paphiopedilum;Cappe;Cappe;villosum;charlesworthii;This is  a synonym
Worsley Queen;01/01/1931;Paphiopedilum;A.E.Dale;A.E.Dale;Worsleyi;Queen Elizabeth;This is not a synonym
Worsleyi;01/01/1925;Paphiopedilum;H.Worsley;H.Worsley;Lady Dillon;Hestia;This is not a synonym
Worston;01/01/1940;Paphiopedilum;Cooke;Cooke;Robert Paterson;Norreys;This is not a synonym
Worth;01/01/1949;Paphiopedilum;S.Low;S.Low;Warrior;Birling;This is not a synonym
Worthy Bay;10/03/2000;Paphiopedilum;A ;A ;charlesworthii;Buena Bay;This is not a synonym
Worthy Soul;12/01/1994;Paphiopedilum;Paphanatics;Paphanatics;charlesworthii;Alma Gevaert;This is not a synonym
Wortig;01/01/1932;Paphiopedilum;Keeling;Keeling;Worsleyi;Carola;This is not a synonym
Wortley;01/01/1950;Paphiopedilum;Keeling;Keeling;Kay-Kay;Worsleyi;This is not a synonym
Wössner Acmosand;26/11/1999;Paphiopedilum;F.Glanz;F.Glanz;sanderianum;acmodontum;This is not a synonym
Wössner Alabaster;26/09/2001;Paphiopedilum;F.Glanz;F.Glanz;Lucille Mackey;Golden Puddle;This is not a synonym
Wössner Almabell;01/12/1994;Paphiopedilum;F.Glanz;F.Glanz;Alma Gevaert;bellatulum;This is not a synonym
Wössner Amandazelle;19/03/1992;Paphiopedilum;F.Glanz;F.Glanz;Redezelle;Amandahill;This is not a synonym
Wössner Apricot;10/03/1995;Paphiopedilum;F.Glanz;F.Glanz;Annette;Hellas;This is not a synonym
Wössner Armeniglan;02/08/1996;Paphiopedilum;F.Glanz;F.Glanz;armeniacum;glanduliferum;This is not a synonym
Wössner Armenigold;02/08/1996;Paphiopedilum;F.Glanz;F.Glanz;adductum;armeniacum;This is not a synonym
Wössner Armenijack;04/11/2002;Paphiopedilum;F.Glanz;F.Glanz;jackii;armeniacum;This is not a synonym
Wössner Armeniperle;13/06/1994;Paphiopedilum;F.Glanz;F.Glanz;armeniacum;Deperle;This is not a synonym
Wössner Armeregina;01/12/1994;Paphiopedilum;F.Glanz;F.Glanz;armeniacum;victoria-regina;This is not a synonym
Wössner Armiday;28/10/1996;Paphiopedilum;F.Glanz;F.Glanz;dayanum;armeniacum;This is not a synonym
Wössner Barbarand;30/08/2000;Paphiopedilum;F.Glanz;F.Glanz;randsii;barbatum;This is not a synonym
Wössner Barbasand;13/12/2001;Paphiopedilum;F.Glanz;F.Glanz;sanderianum;barbatum;This is not a synonym
Wössner Bellarmi;15/05/1992;Paphiopedilum;F.Glanz;F.Glanz;armeniacum;bellatulum;This is not a synonym
Wössner Bellsand;27/06/1994;Paphiopedilum;F.Glanz;F.Glanz;sanderianum;bellatulum;This is not a synonym
Wössner Bellsup;05/02/2007;Paphiopedilum;F.Glanz;F.Glanz;supardii;bellatulum;This is not a synonym
Wössner Black Apple;25/11/1997;Paphiopedilum;F.Glanz;F.Glanz;Knock Knock;appletonianum;This is not a synonym
Wössner Black Dream;13/07/2006;Paphiopedilum;F.Glanz;F.Glanz;rothschildianum;Wössner Firedance;This is not a synonym
Wössner Black Magic;24/08/2009;Paphiopedilum;F.Glanz;F.Glanz;rothschildianum;Magic Gem;This is not a synonym
Wössner Black Wings;04/06/2009;Paphiopedilum;F.Glanz;F.Glanz;anitum;rothschildianum;This is not a synonym
Wössner Braunbär;21/06/1994;Paphiopedilum;F.Glanz;F.Glanz;adductum;wardii;This is not a synonym
Wössner Brownglow;23/07/1999;Paphiopedilum;F.Glanz;F.Glanz;rothschildianum;Pine Glow;This is not a synonym
Wössner Brownwings;06/03/2012;Paphiopedilum;F.Glanz;O.Gruss;glanduliferum;Vera Pellechia;This is not a synonym
Wössner Bumerang;04/11/2003;Paphiopedilum;F.Glanz;F.Glanz;richardianum;supardii;This is not a synonym
Wössner Butterfly;03/01/2003;Paphiopedilum;F.Glanz;F.Glanz;vietnamense;malipoense;This is not a synonym
Wössner China Moon;22/04/2005;Paphiopedilum;F.Glanz;F.Glanz;hangianum;armeniacum;This is not a synonym
Wössner Ciliem;25/11/1997;Paphiopedilum;F.Glanz;F.Glanz;emersonii;ciliolare;This is not a synonym
Wössner Concohang;30/08/2007;Paphiopedilum;F.Glanz;F.Glanz;hangianum;concolor;This is not a synonym
Wössner Concomal;28/09/1993;Paphiopedilum;F.Glanz;F.Glanz;malipoense;concolor;This is not a synonym
Wössner Concotiger;20/04/1995;Paphiopedilum;F.Glanz;F.Glanz;tigrinum;concolor;This is not a synonym
Wössner Delight;30/08/2002;Paphiopedilum;F.Glanz;F.Glanz;adductum;Nettie McNay;This is not a synonym
Wössner Diamant;03/01/2003;Paphiopedilum;F.Glanz;F.Glanz;armeniacum;Franz Glanz;This is not a synonym
Wössner Emercham;30/01/1995;Paphiopedilum;F.Glanz;F.Glanz;chamberlainianum;emersonii;This is not a synonym
Wössner Emerperle;13/06/1994;Paphiopedilum;F.Glanz;F.Glanz;emersonii;Deperle;This is not a synonym
Wössner Emerstar;22/01/1998;Paphiopedilum;F.Glanz;F.Glanz;emersonii;Wössner Grünstar;This is not a synonym
